detected_date,previous_vintage_date,state_name,report_date,data_type,field,old_value,new_value,source
2026-05-09,2026-05-08,Indiana,201309,U,total_chip_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Indiana,201309,U,total_medicaid_and_chip_determinations,,None,data.medicaid.gov
2026-05-09,2026-05-08,Indiana,201309,U,medicaid_and_chip_child_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Kansas,201309,U,total_medicaid_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Kansas,201309,U,total_chip_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Kansas,201309,U,total_medicaid_and_chip_determinations,,None,data.medicaid.gov
2026-05-09,2026-05-08,Kansas,201309,U,medicaid_and_chip_child_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Kentucky,201309,U,total_medicaid_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Kentucky,201309,U,total_chip_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Kentucky,201309,U,total_medicaid_and_chip_determinations,,None,data.medicaid.gov
2026-05-09,2026-05-08,Kentucky,201309,U,medicaid_and_chip_child_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Louisiana,201309,U,total_medicaid_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Louisiana,201309,U,total_chip_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Louisiana,201309,U,total_medicaid_and_chip_determinations,,None,data.medicaid.gov
2026-05-09,2026-05-08,Louisiana,201309,U,medicaid_and_chip_child_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Massachusetts,201309,U,total_medicaid_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Massachusetts,201309,U,total_chip_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Massachusetts,201309,U,total_medicaid_and_chip_determinations,,None,data.medicaid.gov
2026-05-09,2026-05-08,Massachusetts,201309,U,medicaid_and_chip_child_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Maryland,201309,U,total_medicaid_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Maryland,201309,U,total_chip_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Maryland,201309,U,total_medicaid_and_chip_determinations,,None,data.medicaid.gov
2026-05-09,2026-05-08,Maryland,201309,U,medicaid_and_chip_child_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Maine,201309,U,total_medicaid_and_chip_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Maine,201309,U,total_medicaid_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Maine,201309,U,total_chip_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Maine,201309,U,total_medicaid_and_chip_determinations,,None,data.medicaid.gov
